kepid,kepler_name,pl_name
8081905,Kepler-1292 b,Kepler-1292 b
10916600,Kepler-1293 b,Kepler-1293 b
8429314,Kepler-1294 b,Kepler-1294 b
9153570,Kepler-1295 b,Kepler-1295 b
6124512,Kepler-1296 b,Kepler-1296 b
10070468,Kepler-1297 b,Kepler-1297 b
11337566,Kepler-1298 b,Kepler-1298 b
1995519,Kepler-1299 b,Kepler-1299 b
9941662,Kepler-13 b,KOI-13 b
5088536,Kepler-130 b,Kepler-130 b
5088536,Kepler-130 c,Kepler-130 c
5088536,Kepler-130 d,Kepler-130 d
4914566,Kepler-1300 b,Kepler-1300 b
6933567,Kepler-1301 b,Kepler-1301 b
11962284,Kepler-1302 b,Kepler-1302 b
6842682,Kepler-1303 b,Kepler-1303 b
4346178,Kepler-1304 b,Kepler-1304 b
9664142,Kepler-1305 b,Kepler-1305 b
10018233,Kepler-1306 b,Kepler-1306 b
9893318,Kepler-1307 b,Kepler-1307 b
3426367,Kepler-1308 b,Kepler-1308 b
5562090,Kepler-1309 b,Kepler-1309 b
5695396,Kepler-131 b,Kepler-131 b
5695396,Kepler-131 c,Kepler-131 c
5513012,Kepler-1310 b,Kepler-1310 b
8022489,Kepler-1311 b,Kepler-1311 b
8022489,Kepler-1311 c,Kepler-1311 c
8022489,Kepler-1311 d,Kepler-1311 d
5794570,Kepler-1312 b,Kepler-1312 b
5794570,Kepler-1312 c,Kepler-1312 c
6779260,Kepler-1313 b,Kepler-1313 b
8892303,Kepler-1314 b,Kepler-1314 b
9475552,Kepler-1315 b,Kepler-1315 b
9475552,Kepler-1315 c,Kepler-1315 c
5128673,Kepler-1316 b,Kepler-1316 b
6690836,Kepler-1317 b,Kepler-1317 b
5871985,Kepler-1318 b,Kepler-1318 b
11453592,Kepler-1319 b,Kepler-1319 b
6021275,Kepler-132 b,Kepler-132 b
6021275,Kepler-132 c,Kepler-132 c
6021275,Kepler-132 d,Kepler-132 d
6021275,Kepler-132 e,Kepler-132 e
5175986,Kepler-1320 b,Kepler-1320 b
9837661,Kepler-1321 b,Kepler-1321 b
9837661,Kepler-1321 c,Kepler-1321 c
9837661,Kepler-1321 d,Kepler-1321 d
9092504,Kepler-1322 b,Kepler-1322 b
9092504,Kepler-1322 c,Kepler-1322 c
9467404,Kepler-1323 b,Kepler-1323 b
5184911,Kepler-1324 b,Kepler-1324 b
6587105,Kepler-1325 b,Kepler-1325 b
4178606,Kepler-1326 b,Kepler-1326 b
12008872,Kepler-1327 b,Kepler-1327 b
8415200,Kepler-1328 b,Kepler-1328 b
10842192,Kepler-1329 b,Kepler-1329 b
10933561,Kepler-133 b,Kepler-133 b
10933561,Kepler-133 c,Kepler-133 c
4831728,Kepler-1330 b,Kepler-1330 b
5980208,Kepler-1331 b,Kepler-1331 b
8095441,Kepler-1332 b,Kepler-1332 b
5881813,Kepler-1333 b,Kepler-1333 b
12456601,Kepler-1334 b,Kepler-1334 b
6586746,Kepler-1335 b,Kepler-1335 b
9962455,Kepler-1336 b,Kepler-1336 b
9962455,Kepler-1336 c,Kepler-1336 c
9881077,Kepler-1337 b,Kepler-1337 b
6265792,Kepler-1338 b,Kepler-1338 b
10905911,Kepler-1339 b,Kepler-1339 b
11547513,Kepler-134 b,Kepler-134 b
11547513,Kepler-134 c,Kepler-134 c
6964929,Kepler-1340 b,Kepler-1340 b
8210018,Kepler-1341 b,Kepler-1341 b
7769819,Kepler-1342 b,Kepler-1342 b
12164564,Kepler-1343 b,Kepler-1343 b
10001368,Kepler-1344 b,Kepler-1344 b
9466429,Kepler-1345 b,Kepler-1345 b
8885643,Kepler-1346 b,Kepler-1346 b
5652893,Kepler-1347 b,Kepler-1347 b
11662184,Kepler-1348 b,Kepler-1348 b
11127479,Kepler-1349 b,Kepler-1349 b
3642289,Kepler-135 b,Kepler-135 b
3642289,Kepler-135 c,Kepler-135 c
9823519,Kepler-1350 b,Kepler-1350 b
9823519,Kepler-1350 c,Kepler-1350 c
6697756,Kepler-1351 b,Kepler-1351 b
11135308,Kepler-1352 b,Kepler-1352 b
7047824,Kepler-1353 b,Kepler-1353 b
2442448,Kepler-1354 b,Kepler-1354 b
11283615,Kepler-1355 b,Kepler-1355 b
7605093,Kepler-1356 b,Kepler-1356 b
11963206,Kepler-1357 b,Kepler-1357 b
7428736,Kepler-1358 b,Kepler-1358 b
6436029,Kepler-1359 b,Kepler-1359 b
7050989,Kepler-136 b,Kepler-136 b
7050989,Kepler-136 c,Kepler-136 c
9244508,Kepler-1360 b,Kepler-1360 b
9995402,Kepler-1361 b,Kepler-1361 b
5609593,Kepler-1362 b,Kepler-1362 b
11414465,Kepler-1363 b,Kepler-1363 b
11565924,Kepler-1364 b,Kepler-1364 b
6607357,Kepler-1365 b,Kepler-1365 b
6607357,Kepler-1365 c,Kepler-1365 c
6186964,Kepler-1366 b,Kepler-1366 b
