kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
5467102,K03840.01,,296.67294,40.650982,15.362,FALSE POSITIVE,0.0,0,1,1,1,2.845739012,134.279738,11.9327,24391.8,488.6,1.213,44.7,1294.0,663.42,0.426372,5982.0,4.493,0.96,1.047,296.67294,40.650982
8651551,K03841.01,,300.00583,44.718781,15.935,FALSE POSITIVE,0.0,0,1,1,0,1.527491117,132.259806,7.9136,33546.0,298.6,1.164,27.85,988.0,224.31,0.428584,4273.0,4.652,0.595,0.581,300.00583,44.718781
9532637,K03842.01,,294.35965,46.125389,17.453,FALSE POSITIVE,0.0,1,0,0,0,0.61496383,132.022402,1.93053,358049.0,806.5,0.506,44.79,1460.0,1074.84,0.618606,4509.0,4.612,0.663,0.656,294.35965,46.125389
4947556,K03936.01,,297.57712,40.02771,13.336,FALSE POSITIVE,0.0,0,0,1,0,141.608555,190.27633,7.685,1263.1,43.3,0.399,2.98,290.0,1.68,0.032298,5083.0,4.512,0.844,0.844,297.57712,40.02771
7362696,K03937.01,,291.76056,42.92392,15.535,FALSE POSITIVE,0.0,0,1,0,0,4.93129874,134.82009,1.8626,676.1,31.7,1.224,21.42,944.0,187.36,0.251798,5457.0,4.508,0.779,0.712,291.76056,42.92392
3865595,K03938.01,,295.29874,38.930496,13.627,FALSE POSITIVE,0.0,0,1,1,0,5.59187448,132.87618,1.6782,236.4,31.9,0.82,104.18,4793.0,124810.93,0.016357,3915.0,1.173,58.325,1.846,295.29874,38.930496
9593528,K03939.01,,294.0282,46.201771,15.21,CANDIDATE,1.0,0,0,0,0,1.88665445,132.3531,1.343,2098.0,15.8,1.269,43.81,1794.0,2453.86,0.321214,6296.0,4.247,1.249,1.005,294.0282,46.201771
5195945,K03940.01,,294.31287,40.319721,12.93,FALSE POSITIVE,0.0,0,0,1,0,14.53682228,132.36831,3.195,1032.3,40.8,1.068,73.15,1596.0,1534.06,0.114404,4946.0,2.819,5.855,0.824,294.31287,40.319721
3228986,K04031.01,,289.80322,38.366692,14.184,FALSE POSITIVE,0.0,0,1,1,1,0.730949487,132.22503,2.367,87.3,15.8,0.86,1.27,2311.0,6730.38,0.0098,6238.0,4.365,1.191,1.204,289.80322,38.366692
7100673,K04032.05,,285.72849,42.65453,12.639,CANDIDATE,0.79,0,0,0,0,7.23524221,135.23173,2.685,60.0,15.2,0.182,0.82,948.0,191.14,0.007012,5574.0,4.354,1.065,0.933,285.72849,42.65453
4138557,K04033.01,,285.5921,39.206268,11.968,FALSE POSITIVE,0.0,1,0,1,0,0.991552822,131.90235,1.135,607.2,17.3,1.158,37.93,2558.0,10148.8,0.186561,5908.0,3.888,1.862,0.977,285.5921,39.206268
5386264,K04135.01,,297.77292,40.589088,14.844,FALSE POSITIVE,0.0,1,0,1,0,12.435190544,140.8323906,3.8305,71.9,4.8,0.321,0.52,545.0,20.93,0.007614,4756.0,4.676,0.62,0.667,297.77292,40.589088
7256914,K04136.01,,281.82318,42.811169,13.955,CANDIDATE,0.982,0,0,0,0,2.41750021,133.80584,4.33,58.2,15.2,0.895,1.19,1507.0,1221.36,0.008341,5575.0,4.189,1.308,0.965,281.82318,42.811169
7256914,K04136.02,,281.82318,42.811169,13.955,CANDIDATE,0.972,0,0,0,0,4.03357434,134.23275,5.886,66.2,15.5,0.855,1.23,1270.0,616.04,0.008579,5575.0,4.189,1.308,0.965,281.82318,42.811169
3542222,K04137.01,,290.74918,38.659111,15.213,FALSE POSITIVE,0.0,0,1,1,0,0.504426087,131.894825,1.6276,614.5,81.7,1.321,33.96,2339.0,7077.76,0.34519,6043.0,4.452,0.901,0.837,290.74918,38.659111
4636565,K04138.01,,285.41519,39.776009,12.511,FALSE POSITIVE,0.0,0,0,1,1,2.81401302,133.0785,5.801,55.7,33.8,0.567,1.51,1723.0,2081.51,0.007047,5541.0,3.869,1.967,1.046,285.41519,39.776009
4159347,K00394.01,,292.03107,39.24548,13.167,FALSE POSITIVE,0.0,0,1,1,0,12.28351275,174.36652,3.634,597.8,23.4,1.224,74.76,1342.0,765.56,0.24815,6171.0,3.668,2.759,1.291,292.03107,39.24548
9697131,K02706.01,,285.07767,46.419601,10.268,CANDIDATE,1.0,0,0,0,0,3.09756897,131.55889,4.588,83.3,14.6,0.408,1.75,1782.0,2380.18,0.008516,6329.0,4.026,1.885,1.374,285.07767,46.419601
4180401,K02709.01,,296.54736,39.222542,14.373,FALSE POSITIVE,0.0,0,1,1,0,15.4126766,144.9757,3.402,599.8,7.5,0.958,2.82,618.0,34.56,0.030214,5240.0,4.555,0.856,0.958,296.54736,39.222542
6350476,K02710.01,,286.86526,41.796021,14.139,FALSE POSITIVE,0.0,0,0,1,0,1.110599919,131.57274,1.3493,157.6,38.7,0.214,1.07,1539.0,1320.65,0.011346,5227.0,4.463,0.867,0.796,286.86526,41.796021
4365442,K02787.01,,291.68573,39.42886,13.297,FALSE POSITIVE,0.0,0,0,1,1,1.714410345,131.86549,3.336,50.4,22.9,0.56,1.84,2551.0,10025.53,0.006757,6340.0,3.731,2.498,1.223,291.68573,39.42886
9943435,K02788.01,,288.03152,46.827549,14.397,FALSE POSITIVE,0.0,0,1,1,0,0.777663575,131.52537,1.1741,134.3,28.1,0.204,0.95,1816.0,2553.18,0.010684,5769.0,4.57,0.812,0.9,288.03152,46.827549
9149789,K02874.01,,289.85889,45.503841,14.867,CANDIDATE,0.989,0,0,0,0,0.352515897,132.01659,1.0525,168.2,38.0,0.26,1.0,2194.0,5534.14,0.01191,5465.0,4.598,0.766,0.857,289.85889,45.503841
12170648,K02875.01,,296.96381,50.74538,14.828,FALSE POSITIVE,0.0,0,1,0,0,0.299697755,132.017121,0.8473,346.9,53.6,0.964,2.03,2246.0,6005.79,0.0238,5180.0,4.547,0.782,0.787,296.96381,50.74538
4367854,K02876.01,,292.37903,39.435841,14.937,FALSE POSITIVE,0.276,0,0,1,0,5.1952021,133.34401,2.1552,320.8,17.7,0.604,1.37,836.0,115.35,0.016999,5044.0,4.551,0.738,0.708,292.37903,39.435841
4367854,K02876.02,,292.37903,39.435841,14.937,FALSE POSITIVE,0.0,1,0,1,0,0.535224793,131.73629,3.3402,228.7,48.8,0.017,1.09,1783.0,2385.75,0.013487,5044.0,4.551,0.738,0.708,292.37903,39.435841
8429415,K02965.01,,291.30753,44.457619,12.709,FALSE POSITIVE,0.0,0,0,1,1,1.352564873,132.04752,3.469,56.7,34.9,0.669,1.45,2447.0,8505.97,0.007307,6463.0,3.959,1.823,1.103,291.30753,44.457619
5014903,K02966.01,,292.90903,40.152039,15.648,FALSE POSITIVE,0.0,0,0,1,0,7.72768833,136.19387,2.06,404.8,14.6,0.203,1.89,899.0,154.46,0.018376,5765.0,4.468,0.94,0.946,292.90903,40.152039
8873090,K02968.01,,286.58014,45.163822,11.912,CANDIDATE,0.999,0,0,0,0,10.16435076,136.43034,6.017,37.7,18.4,0.915,1.99,1389.0,879.94,0.00674,6133.0,3.718,2.71,1.401,286.58014,45.163822
8560804,K02969.01,,292.11945,44.657928,12.567,FALSE POSITIVE,0.0,0,1,1,1,31.9729501,133.88218,9.41,156.3,38.3,0.773,2.41,757.0,77.49,0.012524,6007.0,4.064,1.759,1.311,292.11945,44.657928
4848321,K04573.01,,295.19534,39.92725,15.028,FALSE POSITIVE,0.0,0,0,1,1,1.50178705,131.56426,2.936,86.7,13.4,0.359,0.93,1617.0,1619.24,0.008605,5964.0,4.471,0.987,1.049,295.19534,39.92725
6522745,K04574.01,,291.9281,41.968441,15.954,FALSE POSITIVE,0.0,0,1,1,1,17.4453935,135.7609,6.39,501.7,16.4,1.254,32.01,770.0,83.11,0.27579,6260.0,4.433,1.063,1.118,291.9281,41.968441
9893468,K04575.01,,292.93643,46.753021,13.174,CANDIDATE,0.831,0,0,0,0,201.325036,174.7724,14.4,125.4,14.2,0.597,1.98,410.0,6.71,0.01067,6120.0,4.093,1.699,1.306,292.93643,46.753021
10610039,K04577.01,,295.6709,47.830399,14.894,CANDIDATE,0.695,0,0,0,0,105.997107,144.41965,3.751,430.8,10.9,0.667,1.83,373.0,4.59,0.020118,6068.0,4.565,0.831,0.931,295.6709,47.830399
10610039,K04577.02,,295.6709,47.830399,14.894,CANDIDATE,0.952,0,0,0,0,3.07365139,134.17117,2.102,90.5,9.6,0.034,0.79,1215.0,515.92,0.008751,6068.0,4.565,0.831,0.931,295.6709,47.830399
9652655,K04578.01,,293.26266,46.30888,14.768,FALSE POSITIVE,0.0,0,0,1,1,2.48882685,132.12332,3.487,80.2,14.2,0.711,1.05,1477.0,1124.85,0.008777,6246.0,4.433,1.092,1.18,293.26266,46.30888
